isolate	Idcorrected	ID	species	hostGenus	SequenceProvider	MPG1_clade	WG_clade
B2	B2	B2	Moryzae	Triticum	Farman-Valent	PO.T	TB
Br7	Br7	Br7	Moryzae	Triticum	Farman-Valent	PO.T	TB
Br80	Br80	Br80	Moryzae	Triticum	Farman-Valent	PO.T	TB
PY36.1	PY36	PY36-1	Moryzae	Triticum	Talbot-Soanes	PO.T	TB
PY5003	PY5003	PY5003	Moryzae	Triticum	Talbot-Soanes	PO.T	TB
PY5010	PY5010	PY5010	Moryzae	Triticum	Talbot-Soanes	PO.T	TB
PY5033	PY5033	PY5033	Moryzae	Triticum	Talbot-Soanes	PO.T	TB
PY6017	PY6017	PY6017	Moryzae	Triticum	Talbot-Soanes	PO.T	TB
T25	T25	T25	Moryzae	Triticum	Farman-Valent	PO.T	TB
WHTQ	WHTQ	WHTQ	?	?	Tom.Mitchell	PO.T	TB
B71	B71	B71	Moryzae	Triticum	Farman-Valent	PGT	TB
BdBar	BdBar	BdBar	Moryzae	Triticum	Farman-Valent	PGT	TB
BdJes	BdJes	BdJes	Moryzae	Triticum	Farman-Valent	PGT	TB
BdMeh	BdMeh	BdMeh	Moryzae	Triticum	Farman-Valent	PGT	TB
BdKus	BdKus	BdKus	Moryzae	Triticum	Farman-Valent	PGT	TB
BdMag	BdMag	BdMag	Moryzae	Triticum	Farman-Valent	PGT	TB
PY0925	PY0925	PY0925	Moryzae	Triticum	Talbot-Soanes	PGT	TB
PY86.1	PY86	PY86-1	Moryzae	Triticum	Talbot-Soanes	PGT	TB
Br130	Br130	Br130	Moryzae	Bromus	Tom.Mitchell	other	TB
P29	P29	P29	Moryzae	Bromus	Farman-Valent	other	TB
P3	P3	P3	Moryzae	Triticum	Farman-Valent	other	TB
SSFL02-1	SSFL02-1	SSFL02-1	Moryzae	Stenotaphrum	Farman-Valent	other	Stenotaphrum
SSFL14-3	SSFL14-3	SSFL14-3	Moryzae	Stenotaphrum	Farman-Valent	other	Stenotaphrum
Arcadia	Arcadia	Arcadia	Moryzae	Setaria	Farman-Valent	other	Setaria
GFSI1-7-2	GFSI1-7-2	GFSI1-7-2	Moryzae	Setaria	DDBJ	other	Setaria
GRF52	GRF52	GRF52	Moryzae	Setaria	Farman-Valent	other	Setaria
KANSV1-4-1	KANSV1-4-1	KANSV1-4-1	Moryzae	Setaria	DDBJ	other	Setaria
SA05-43	SA05-144	SA05-43	Moryzae	Setaria	DDBJ	other	Setaria
SV9610	Sv9610	SV9610	Moryzae	Setaria	NCBI	other	Setaria
SV9623	Sv9623	SV9623	Moryzae	Setaria	NCBI	other	Setaria
US0071	US71	US71	Moryzae	Setaria	Montpellier	other	Setaria
PM1	Pm1	Pm1	Ppennisetigena	Pennisteum	Talbot-Soanes	other	Pennisteum
87_120.2	87-120	87-120	Moryzae	Oryza	Talbot-Soanes	PO.O	Oryza
FR0013	FR13	FR13	Moryzae	Oryza	Montpellier	PO.O	Oryza
GY0011	Guy11	Guy11	Moryzae	Oryza	Montpellier	PO.O	Oryza
IA1	IA1	IA1	Moryzae	Oryza	Farman-Valent	PO.O	Oryza
IB33	IB33	IB33	Moryzae	Oryza	Yulin.Jia	PO.O	Oryza
