ID	Length	Mask_count
chr1	6441731	1420741
chr2	7902562	299342
chr3	7531009	1324401
chr4	5401865	172583
chr5	4442875	133440
chr6	6090616	600153
chr7	4042499	494807
ctg8	461586	334120
ctg9	398019	353002
ctg10	253500	207999
ctg11	240676	201080
ctg12	237462	174116
ctg13	184678	165122
ctg14	138009	124700
ctg15	110918	106675
ctg16	78737	74495
ctg17	69539	58383
ctg18	69131	63979
ctg19	51862	41156
ctg20	47134	36091
ctg21	42259	42259
ctg22	36639	36361
ctg23	36455	36455
ctg24	35037	30040
ctg25	32608	32608
ctg26	28099	28099
ctg27	27162	27162
ctg28	25161	25092
ctg29	12906	12906
